"Date","Price","Open","High","Low","Vol.","Change %"
"05/18/2023","5.08","5.08","5.08","5.08","","0.00%"
"05/17/2023","5.08","5.08","5.08","5.08","","0.00%"
"05/16/2023","5.08","5.08","5.08","5.08","","0.00%"
"05/15/2023","5.08","5.08","5.08","5.08","","0.00%"
"05/12/2023","5.08","5.08","5.08","5.08","","0.00%"
"05/11/2023","5.08","5.08","5.08","5.08","","0.00%"
"05/10/2023","5.08","5.08","5.08","5.08","","0.00%"
"05/09/2023","5.08","5.08","5.08","5.08","","0.00%"
"05/08/2023","5.08","5.08","5.08","5.08","","0.00%"
"05/05/2023","5.08","5.08","5.08","5.08","","0.00%"
"05/04/2023","5.08","5.08","5.08","5.08","","5.18%"
"05/03/2023","4.83","4.83","4.83","4.83","","0.00%"
"05/02/2023","4.83","4.83","4.83","4.83","","0.00%"
"05/01/2023","4.83","4.83","4.83","4.83","","0.00%"
"04/28/2023","4.83","4.83","4.83","4.83","","0.00%"
"04/27/2023","4.83","4.83","4.83","4.83","","0.00%"
"04/26/2023","4.83","4.83","4.83","4.83","","0.00%"
"04/25/2023","4.83","4.83","4.83","4.83","","0.00%"
"04/24/2023","4.83","4.83","4.83","4.83","","0.00%"
"04/21/2023","4.83","4.83","4.83","4.83","","0.00%"
"04/20/2023","4.83","4.83","4.83","4.83","","0.00%"
"04/19/2023","4.83","4.83","4.83","4.83","","0.00%"
"04/18/2023","4.83","4.83","4.83","4.83","","0.00%"
"04/17/2023","4.83","4.83","4.83","4.83","","0.00%"
"04/14/2023","4.83","4.83","4.83","4.83","","0.00%"
"04/13/2023","4.83","4.83","4.83","4.83","","0.00%"
"04/12/2023","4.83","4.83","4.83","4.83","","0.00%"
"04/11/2023","4.83","4.83","4.83","4.83","","0.00%"
"04/10/2023","4.83","4.83","4.83","4.83","","0.00%"
"04/07/2023","4.83","4.83","4.83","4.83","","0.00%"
"04/06/2023","4.83","4.83","4.83","4.83","","0.00%"
"04/05/2023","4.83","4.83","4.83","4.83","","0.00%"
"04/04/2023","4.83","4.83","4.83","4.83","","0.00%"
"04/03/2023","4.83","4.83","4.83","4.83","","0.00%"
"03/31/2023","4.83","4.83","4.83","4.83","","0.00%"
"03/30/2023","4.83","4.83","4.83","4.83","","0.00%"
"03/29/2023","4.83","4.83","4.83","4.83","","0.00%"
"03/28/2023","4.83","4.83","4.83","4.83","","0.00%"
"03/27/2023","4.83","4.83","4.83","4.83","","0.00%"
"03/24/2023","4.83","4.83","4.83","4.83","","0.00%"
"03/23/2023","4.83","4.83","4.83","4.83","","5.46%"
"03/22/2023","4.58","4.58","4.58","4.58","","0.00%"
"03/21/2023","4.58","4.58","4.58","4.58","","0.00%"
"03/20/2023","4.58","4.58","4.58","4.58","","0.00%"
"03/17/2023","4.58","4.58","4.58","4.58","","0.00%"
"03/16/2023","4.58","4.58","4.58","4.58","","0.00%"
"03/15/2023","4.58","4.58","4.58","4.58","","0.00%"
"03/14/2023","4.58","4.58","4.58","4.58","","0.00%"
"03/13/2023","4.58","4.58","4.58","4.58","","0.22%"
"03/10/2023","4.57","4.57","4.57","4.57","","0.00%"
"03/09/2023","4.57","4.57","4.57","4.57","","0.00%"
"03/08/2023","4.57","4.57","4.57","4.57","","0.00%"
"03/07/2023","4.57","4.57","4.57","4.57","","0.00%"
"03/06/2023","4.57","4.57","4.57","4.57","","0.00%"
"03/03/2023","4.57","4.57","4.57","4.57","","0.00%"
"03/02/2023","4.57","4.57","4.57","4.57","","-0.22%"
"03/01/2023","4.58","4.58","4.58","4.58","","0.22%"
"02/28/2023","4.57","4.57","4.57","4.57","","0.00%"
"02/27/2023","4.57","4.57","4.57","4.57","","-0.22%"
"02/24/2023","4.58","4.58","4.58","4.58","","0.00%"
"02/23/2023","4.58","4.58","4.58","4.58","","0.00%"
"02/22/2023","4.58","4.58","4.58","4.58","","0.00%"
"02/21/2023","4.58","4.58","4.58","4.58","","0.00%"
"02/17/2023","4.58","4.58","4.58","4.58","","0.00%"
"02/16/2023","4.58","4.58","4.58","4.58","","0.00%"
"02/15/2023","4.58","4.58","4.58","4.58","","0.00%"
"02/14/2023","4.58","4.58","4.58","4.58","","0.00%"
"02/13/2023","4.58","4.58","4.58","4.58","","0.00%"
"02/10/2023","4.58","4.58","4.58","4.58","","0.22%"
"02/09/2023","4.57","4.57","4.57","4.57","","-0.22%"
"02/08/2023","4.58","4.58","4.58","4.58","","0.00%"
"02/07/2023","4.58","4.58","4.58","4.58","","0.00%"
"02/06/2023","4.58","4.58","4.58","4.58","","0.00%"
"02/03/2023","4.58","4.58","4.58","4.58","","0.00%"
"02/02/2023","4.58","4.58","4.58","4.58","","5.77%"
"02/01/2023","4.33","4.33","4.33","4.33","","0.00%"
"01/31/2023","4.33","4.33","4.33","4.33","","0.00%"
"01/30/2023","4.33","4.33","4.33","4.33","","0.00%"
"01/27/2023","4.33","4.33","4.33","4.33","","0.00%"
"01/26/2023","4.33","4.33","4.33","4.33","","0.00%"
"01/25/2023","4.33","4.33","4.33","4.33","","0.00%"
"01/24/2023","4.33","4.33","4.33","4.33","","0.00%"
"01/23/2023","4.33","4.33","4.33","4.33","","0.00%"
"01/20/2023","4.33","4.33","4.33","4.33","","0.00%"
"01/19/2023","4.33","4.33","4.33","4.33","","0.00%"
"01/18/2023","4.33","4.33","4.33","4.33","","0.00%"
"01/17/2023","4.33","4.33","4.33","4.33","","0.00%"
"01/13/2023","4.33","4.33","4.33","4.33","","0.00%"
"01/12/2023","4.33","4.33","4.33","4.33","","0.00%"
"01/11/2023","4.33","4.33","4.33","4.33","","0.00%"
"01/10/2023","4.33","4.33","4.33","4.33","","0.00%"
"01/09/2023","4.33","4.33","4.33","4.33","","0.00%"
"01/06/2023","4.33","4.33","4.33","4.33","","0.00%"
"01/05/2023","4.33","4.33","4.33","4.33","","0.00%"
"01/04/2023","4.33","4.33","4.33","4.33","","0.00%"
"01/03/2023","4.33","4.33","4.33","4.33","","0.00%"
"12/30/2022","4.33","4.33","4.33","4.33","","0.00%"
"12/29/2022","4.33","4.33","4.33","4.33","","0.00%"
"12/28/2022","4.33","4.33","4.33","4.33","","0.00%"
"12/27/2022","4.33","4.33","4.33","4.33","","0.00%"
"12/23/2022","4.33","4.33","4.33","4.33","","0.00%"
"12/22/2022","4.33","4.33","4.33","4.33","","0.00%"
"12/21/2022","4.33","4.33","4.33","4.33","","0.00%"
"12/20/2022","4.33","4.33","4.33","4.33","","0.00%"
"12/19/2022","4.33","4.33","4.33","4.33","","0.00%"
"12/16/2022","4.33","4.33","4.33","4.33","","0.00%"
"12/15/2022","4.33","4.33","4.33","4.33","","13.05%"
"12/14/2022","3.83","3.83","3.83","3.83","","0.00%"
"12/13/2022","3.83","3.83","3.83","3.83","","0.00%"
"12/12/2022","3.83","3.83","3.83","3.83","","0.00%"
"12/09/2022","3.83","3.83","3.83","3.83","","0.00%"
"12/08/2022","3.83","3.83","3.83","3.83","","0.00%"
"12/07/2022","3.83","3.83","3.83","3.83","","0.00%"
"12/06/2022","3.83","3.83","3.83","3.83","","0.00%"
"12/05/2022","3.83","3.83","3.83","3.83","","0.00%"
"12/02/2022","3.83","3.83","3.83","3.83","","0.00%"
"12/01/2022","3.83","3.83","3.83","3.83","","0.00%"
"11/30/2022","3.83","3.83","3.83","3.83","","0.00%"
"11/29/2022","3.83","3.83","3.83","3.83","","0.00%"
"11/28/2022","3.83","3.83","3.83","3.83","","0.00%"
"11/25/2022","3.83","3.83","3.83","3.83","","0.00%"
"11/23/2022","3.83","3.83","3.83","3.83","","0.00%"
"11/22/2022","3.83","3.83","3.83","3.83","","0.00%"
"11/21/2022","3.83","3.83","3.83","3.83","","0.00%"
"11/18/2022","3.83","3.83","3.83","3.83","","0.00%"
"11/17/2022","3.83","3.83","3.83","3.83","","0.00%"
"11/16/2022","3.83","3.83","3.83","3.83","","0.00%"
"11/15/2022","3.83","3.83","3.83","3.83","","0.00%"
"11/14/2022","3.83","3.83","3.83","3.83","","0.00%"
"11/11/2022","3.83","3.83","3.83","3.83","","0.00%"
"11/10/2022","3.83","3.83","3.83","3.83","","0.00%"
"11/09/2022","3.83","3.83","3.83","3.83","","0.00%"
"11/08/2022","3.83","3.83","3.83","3.83","","0.00%"
"11/07/2022","3.83","3.83","3.83","3.83","","0.00%"
"11/04/2022","3.83","3.83","3.83","3.83","","0.00%"
"11/03/2022","3.83","3.83","3.83","3.83","","24.35%"
"11/02/2022","3.08","3.08","3.08","3.08","","0.00%"
"11/01/2022","3.08","3.08","3.08","3.08","","0.00%"
"10/31/2022","3.08","3.08","3.08","3.08","","0.00%"
"10/28/2022","3.08","3.08","3.08","3.08","","0.00%"
"10/27/2022","3.08","3.08","3.08","3.08","","0.00%"
"10/26/2022","3.08","3.08","3.08","3.08","","0.00%"
"10/25/2022","3.08","3.08","3.08","3.08","","0.00%"
"10/24/2022","3.08","3.08","3.08","3.08","","0.00%"
"10/21/2022","3.08","3.08","3.08","3.08","","0.00%"
"10/20/2022","3.08","3.08","3.08","3.08","","0.00%"
"10/19/2022","3.08","3.08","3.08","3.08","","0.00%"
"10/18/2022","3.08","3.08","3.08","3.08","","0.00%"
"10/17/2022","3.08","3.08","3.08","3.08","","0.00%"
"10/14/2022","3.08","3.08","3.08","3.08","","0.00%"
"10/13/2022","3.08","3.08","3.08","3.08","","0.00%"
"10/12/2022","3.08","3.08","3.08","3.08","","0.00%"
"10/11/2022","3.08","3.08","3.08","3.08","","0.00%"
"10/07/2022","3.08","3.08","3.08","3.08","","0.00%"
"10/06/2022","3.08","3.08","3.08","3.08","","0.00%"
"10/05/2022","3.08","3.08","3.08","3.08","","0.00%"
"10/04/2022","3.08","3.08","3.08","3.08","","0.00%"
"10/03/2022","3.08","3.08","3.08","3.08","","0.00%"
"09/30/2022","3.08","3.08","3.08","3.08","","0.00%"
"09/29/2022","3.08","3.08","3.08","3.08","","0.00%"
"09/28/2022","3.08","3.08","3.08","3.08","","0.00%"
"09/27/2022","3.08","3.08","3.08","3.08","","0.00%"
"09/26/2022","3.08","3.08","3.08","3.08","","0.00%"
"09/23/2022","3.08","3.08","3.08","3.08","","0.00%"
"09/22/2022","3.08","3.08","3.08","3.08","","32.19%"
"09/21/2022","2.33","2.33","2.33","2.33","","0.00%"
"09/20/2022","2.33","2.33","2.33","2.33","","0.00%"
"09/19/2022","2.33","2.33","2.33","2.33","","0.00%"
"09/16/2022","2.33","2.33","2.33","2.33","","0.00%"
"09/15/2022","2.33","2.33","2.33","2.33","","0.00%"
"09/14/2022","2.33","2.33","2.33","2.33","","0.00%"
"09/13/2022","2.33","2.33","2.33","2.33","","0.00%"
"09/12/2022","2.33","2.33","2.33","2.33","","0.00%"
"09/09/2022","2.33","2.33","2.33","2.33","","0.00%"
"09/08/2022","2.33","2.33","2.33","2.33","","0.00%"
"09/07/2022","2.33","2.33","2.33","2.33","","0.00%"
"09/06/2022","2.33","2.33","2.33","2.33","","0.00%"
"09/02/2022","2.33","2.33","2.33","2.33","","0.00%"
